,Unnamed: 0,matched_tickers,week,vader_score,vader_score_avg
609,225,NFLX,1,0.0,0.250915625
610,226,GM,0,0.5927,0.23574052192982456
611,226,GME,0,0.5927,0.3639096666666667
612,226,SQ,0,0.5927,0.30888816922249124
613,226,AAPL,0,0.5927,0.29976146260156955
614,227,GM,3,0.9452,0.25412947530864194
615,227,GME,3,0.9452,0.22416983018443545
616,227,SQ,3,0.9452,0.03207113071895425
617,227,AAPL,3,0.9452,0.34326895218826814
618,228,GM,0,0.176164,0.23574052192982456
619,228,GME,0,0.176164,0.3639096666666667
620,229,GM,1,-0.1654310344827586,0.317255156449553
621,229,GME,1,-0.1654310344827586,0.26132256371814094
622,230,GM,2,0.1966392405063291,0.2211135585308581
623,230,GME,2,0.1966392405063291,0.3734811962922003
624,231,GM,3,0.11259,0.25412947530864194
